# k[Mpc^-1]  P(k)[uK^2 Mpc^3]  sigmaP(k)[uK^2 Mpc^3]  Pnoise(k)[uK^2 Mpc^3]  Nmodes(k)  fres(k)
3.052265157305702331e-02 9.455555025457324518e+03 1.581381461359145760e+04 2.083549317142130167e+04 3.849170486236904498e+00 9.763242695920288927e-01
9.156795471917106299e-02 5.754668032387775384e+03 5.169656347692312011e+03 2.083549317142130167e+04 3.464253437613213293e+01 8.738853676824340777e-01
1.526132578652851235e-01 4.341321138591380077e+03 3.657167869843365679e+03 2.083549317142130167e+04 9.622926215592262622e+01 7.017821268078063834e-01
2.136585610113991562e-01 2.615740728067341479e+03 3.360575341282847603e+03 2.083549317142130167e+04 1.886093538256083093e+02 5.081248659181175631e-01
2.747038641575132445e-01 1.699859740410933682e+03 3.817831005506220208e+03 2.083549317142130167e+04 3.117828093851893527e+02 3.342886104637154965e-01
3.357491673036272495e-01 1.434109562402345091e+03 5.108630012681995140e+03 2.083549317142130167e+04 4.657496288346654296e+02 2.019908796623322289e-01
3.967944704497412545e-01 1.251027386782060830e+03 7.621223436696712270e+03 2.083549317142130167e+04 6.505098121740368242e+02 1.136254676451809165e-01
4.578397735958553705e-01 9.706103492577047973e+02 1.226552010678362240e+04 2.083549317142130167e+04 8.660633594033035934e+02 6.041117294919787217e-02
5.188850767419693755e-01 9.116700090691439300e+02 2.117101177993374586e+04 2.083549317142130167e+04 1.112410270522465453e+03 3.079842477132085921e-02
5.799303798880834915e-01 8.119527105503319717e+02 3.814718044132912473e+04 2.083549317142130167e+04 1.389550545531522857e+03 1.522323825400006062e-02
6.409756830341974965e-01 7.689078334419566545e+02 7.145700240917602787e+04 2.083549317142130167e+04 1.697484184430475125e+03 7.338284882123233439e-03
7.020209861803115015e-01 6.828099031201073785e+02 1.381170265242624155e+05 2.083549317142130167e+04 2.036211187219322255e+03 3.452624837598551773e-03
7.630662893264255064e-01 6.529423566759747928e+02 2.769912580293131177e+05 2.083549317142130167e+04 2.405731553898064703e+03 1.581667361047273818e-03
8.241115924725396225e-01 6.083226269622803102e+02 5.758935768886945443e+05 2.083549317142130167e+04 2.806045284466703379e+03 7.029306745604090977e-04
8.851568956186537385e-01 5.857611773802500466e+02 1.246624345316064544e+06 2.083549317142130167e+04 3.237152378925237372e+03 3.020144500098229969e-04
9.462021987647677435e-01 5.787161360420562914e+02 2.814594927985196467e+06 2.083549317142130167e+04 3.699052837273666228e+03 1.250952660574891715e-04
1.007247501910881748e+00 5.620713179761987703e+02 6.630273640558210202e+06 2.083549317142130167e+04 4.191746659511988582e+03 4.984658129645575084e-05
1.068292805056995753e+00 5.198655050260688313e+02 1.630137690898592770e+07 2.083549317142130167e+04 4.715233845640207619e+03 1.907791735715872220e-05
1.129338108203109758e+00 5.160993466405292338e+02 4.198861005749415606e+07 2.083549317142130167e+04 5.269514395658321519e+03 7.005086081972753680e-06
1.190383411349223985e+00 5.131897744248357185e+02 1.131721831211363673e+08 2.083549317142130167e+04 5.854588309566333010e+03 2.465376280157582085e-06
1.251428714495337990e+00 4.992859233323715671e+02 3.191534948646841049e+08 2.083549317142130167e+04 6.470455587364237545e+03 8.310384456103855798e-07
1.312474017641451995e+00 4.900727196208237046e+02 9.427171849817310572e+08 2.083549317142130167e+04 7.117116229052036033e+03 2.681433996020714548e-07
1.373519320787566000e+00 4.800642956483303578e+02 2.916720249410128593e+09 2.083549317142130167e+04 7.794570234629730294e+03 8.277626590074719217e-08
1.434564623933680005e+00 4.754885133063586977e+02 9.457258767458166122e+09 2.083549317142130167e+04 8.502817604097321237e+03 2.443749872339554717e-08
1.495609927079794232e+00 4.685409821529881356e+02 3.213032458231495285e+10 2.083549317142130167e+04 9.241858337454810680e+03 6.897108900139635986e-09
1.556655230225908237e+00 4.650565931823817323e+02 1.144275539829685974e+11 2.083549317142130167e+04 1.001169243470219044e+04 1.860400503974386185e-09
1.617700533372022242e+00 4.635574914796001167e+02 4.272066522993987427e+11 2.083549317142130167e+04 1.081231989583946597e+04 4.794714989474118042e-10
1.678745836518136247e+00 4.553892790704064737e+02 1.671507051355147461e+12 2.083549317142130167e+04 1.164374072086663546e+04 1.180427139892582227e-10
1.739791139664250252e+00 4.562291290889503443e+02 6.859637330979108398e+12 2.083549317142130167e+04 1.250595490978370071e+04 2.775563762790936315e-11
1.800836442810364257e+00 4.516173836841363709e+02 2.950911846846976172e+13 2.083549317142130167e+04 1.339896246259066174e+04 6.231963406443693328e-12
1.861881745956478484e+00 4.382861796964353402e+02 1.330565507729748125e+14 2.083549317142130167e+04 1.432276337928752400e+04 1.335964693447428578e-12
1.922927049102592489e+00 4.340339686727329536e+02 6.294050785792547500e+14 2.083549317142130167e+04 1.527735765987427658e+04 2.734031216822878806e-13
1.983972352248706494e+00 4.367949673711951277e+02 3.123337181846817500e+15 2.083549317142130167e+04 1.626274530435092311e+04 5.340702732418625299e-14
2.045017655394820721e+00 4.384550777403313759e+02 1.625387351484853800e+16 2.083549317142130167e+04 1.727892631271746723e+04 9.957099485150073012e-15
2.106062958540934282e+00 4.281905586290613996e+02 8.866288716528883200e+16 2.083549317142130167e+04 1.832590068497389439e+04 1.771593060573717928e-15
2.167108261687048731e+00 4.278893279940721754e+02 5.075024128661706240e+17 2.083549317142130167e+04 1.940366842112024096e+04 3.007823290828566082e-16
2.228153564833162292e+00 4.248301824093633741e+02 3.046507819020004352e+18 2.083549317142130167e+04 2.051222952115645967e+04 4.872604194594377380e-17
